"","Participant","trialNumber","Sort","Condition","ClipStart","ClipStop","RecordingStart","ETClipStart","ETClipStop"
"1","P01",0,"P01 Baseline","Baseline",774.4207919,801.5815958,478,296.4207919,323.5815958
"2","P01",1,"P01 Baseline","Baseline",829.1929077,853.1171335,478,351.1929077,375.1171335
"3","P01",2,"P01 Baseline","Baseline",870.2177382,930.9292526,478,392.2177382,452.9292526
"4","P01",3,"P01 Baseline","Baseline",951.3833105,998.1473173,478,473.3833105,520.1473173
"5","P01",4,"P01 Baseline","Baseline",1015.097804,1046.145936,478,537.097804,568.145936
"6","P01",5,"P01 Baseline","Baseline",1058.174756,1100.934762,478,580.174756,622.934762
"7","P01",6,"P01 Baseline","Baseline",1113.73102,1153.838434,478,635.73102,675.838434
"8","P01",7,"P01 Baseline","Baseline",1169.037065,1197.432443,478,691.037065,719.432443
"9","P01",8,"P01 GemsBasic","GemsBasic",1511.633921,1553.459579,1216,295.633921,337.459579
"10","P01",9,"P01 GemsBasic","GemsBasic",1569.742789,1605.779372,1216,353.742789,389.779372
"11","P01",10,"P01 GemsBasic","GemsBasic",1624.464891,1659.333474,1216,408.464891,443.333474
"12","P01",11,"P01 GemsBasic","GemsBasic",1676.167407,1708.633499,1216,460.167407,492.633499
"13","P01",12,"P01 GemsBasic","GemsBasic",1720.345322,1749.591578,1216,504.345322,533.591578
"14","P01",13,"P01 GemsBasic","GemsBasic",1758.984469,1770.345995,1216,542.984469,554.345995
"15","P01",14,"P01 GemsBasic","GemsBasic",1784.376828,1827.770698,1216,568.376828,611.770698
"16","P01",15,"P01 GemsBasic","GemsBasic",1838.631709,1863.707145,1216,622.631709,647.707145
"17","P01",16,"P01 GemsCued","GemsCued",2161.008451,2177.342062,1865,296.008451,312.342062
"18","P01",17,"P01 GemsCued","GemsCued",2197.061567,2217.081706,1865,332.061567,352.081706
"19","P01",18,"P01 GemsCued","GemsCued",2235.016523,2255.920937,1865,370.016523,390.920937
"20","P01",19,"P01 GemsCued","GemsCued",2277.42613,2299.898851,1865,412.42613,434.898851
"21","P01",20,"P01 GemsCued","GemsCued",2309.00869,2339.638998,1865,444.00869,474.638998
"22","P01",21,"P01 GemsCued","GemsCued",2360.84396,2396.563539,1865,495.84396,531.563539
"23","P01",22,"P01 GemsCued","GemsCued",2406.558158,2446.38045,1865,541.558158,581.38045
"24","P01",23,"P01 GemsCued","GemsCued",2464.23194,2501.302762,1865,599.23194,636.302762
"25","P01",24,"P01 Tablet","Tablet",2872.546295,2896.252806,2577,295.546295,319.252806
"26","P01",25,"P01 Tablet","Tablet",2910.834255,2939.864229,2577,333.834255,362.864229
"27","P01",26,"P01 Tablet","Tablet",2948.088568,2985.326848,2577,371.088568,408.326848
